method,seed,n,dataset,k_anchor,ade_m,fde_m,normalized_ade,path_length_ratio
v10_dma,0,500,dma_128_test.npz,64,5705.27587890625,512.9754028320312,0.02895599789917469,0.9848596453666687
v10_dma,1,500,dma_128_test.npz,64,5820.80517578125,529.3833618164062,0.02836194634437561,0.9849937558174133
v10_dma,2,500,dma_128_test.npz,64,5824.94921875,578.6597290039062,0.027881452813744545,0.9860453605651855
v10_dma,42,500,dma_128_test.npz,64,5877.3330078125,555.1868896484375,0.027515869587659836,0.9846940040588379
v10_dma,123,500,dma_128_test.npz,64,5904.99609375,547.5769653320312,0.027855178341269493,0.9854220151901245
retr_top1,0,500,dma_128_test.npz,64,6014.76904296875,1245.384521484375,0.03052758239209652,0.9987958669662476
retr_top1,1,500,dma_128_test.npz,64,5937.98876953125,1285.0892333984375,0.02806275151669979,0.9998804330825806
retr_top1,2,500,dma_128_test.npz,64,5741.0927734375,1218.1094970703125,0.026620004326105118,0.9993696212768555
retr_top1,42,500,dma_128_test.npz,64,5917.12353515625,1235.8902587890625,0.026671944186091423,0.999380886554718
retr_top1,123,500,dma_128_test.npz,64,5920.2548828125,1415.447265625,0.027904057875275612,0.9982513189315796
great_circle,0,500,dma_128_test.npz,64,53.06099319458008,72.00392150878906,0.0002074454096145928,0.9987361431121826
great_circle,1,500,dma_128_test.npz,64,53.53123474121094,92.18892669677734,0.00020428001880645752,0.9988105297088623
great_circle,2,500,dma_128_test.npz,64,55.59334945678711,90.44779968261719,0.00020960270194336772,0.9987657070159912
great_circle,42,500,dma_128_test.npz,64,55.31965637207031,79.18775177001953,0.000211641367059201,0.9987401962280273
great_circle,123,500,dma_128_test.npz,64,54.495304107666016,82.56114959716797,0.00021075007680337876,0.998751163482666
traisformer,0,500,dma_128_test.npz,64,9539.021484375,15485.74609375,0.04511185735464096,1.014578104019165
traisformer,1,500,dma_128_test.npz,64,9639.935546875,15228.4208984375,0.04303920269012451,1.0128638744354248
traisformer,2,500,dma_128_test.npz,64,10064.0849609375,13554.623046875,0.04352690652012825,1.0138754844665527
traisformer,42,500,dma_128_test.npz,64,9557.763671875,14819.1943359375,0.044700056314468384,1.0149385929107666
traisformer,123,500,dma_128_test.npz,64,9242.8203125,13638.4189453125,0.04427558183670044,1.013437032699585
