method,seed,n,dataset,k_anchor,ade_m,fde_m,normalized_ade,path_length_ratio
v10_dma,0,500,dma_128_test.npz,2,5637.65234375,0.0,0.028610192239284515,0.9848596453666687
v10_dma,1,500,dma_128_test.npz,2,5752.72900390625,0.0,0.028029995039105415,0.9849937558174133
v10_dma,2,500,dma_128_test.npz,2,5756.24609375,0.0,0.02755218930542469,0.9860453605651855
v10_dma,42,500,dma_128_test.npz,2,5808.919921875,0.0,0.02719668112695217,0.9846940040588379
v10_dma,123,500,dma_128_test.npz,2,5836.81494140625,0.0,0.027535075321793556,0.9854220151901245
retr_top1,0,500,dma_128_test.npz,2,5948.45166015625,1175.5347900390625,0.030206063762307167,0.9987958669662476
retr_top1,1,500,dma_128_test.npz,2,5875.60107421875,1202.7872314453125,0.02779664471745491,0.9998804330825806
retr_top1,2,500,dma_128_test.npz,2,5680.72265625,1105.4034423828125,0.026368025690317154,0.9993696212768555
retr_top1,42,500,dma_128_test.npz,2,5855.5419921875,1152.5731201171875,0.02641505002975464,0.999380886554718
retr_top1,123,500,dma_128_test.npz,2,5857.88671875,1350.268310546875,0.027628391981124878,0.9982513189315796
great_circle,0,500,dma_128_test.npz,2,25506.611328125,0.0678131952881813,0.10601069778203964,0.8649613857269287
great_circle,1,500,dma_128_test.npz,2,25630.904296875,0.06298797577619553,0.10405883938074112,0.8761793375015259
great_circle,2,500,dma_128_test.npz,2,25669.1796875,0.0761178582906723,0.10255461931228638,0.8785358667373657
great_circle,42,500,dma_128_test.npz,2,25688.275390625,0.06412538886070251,0.10292534530162811,0.8764954805374146
great_circle,123,500,dma_128_test.npz,2,25362.4765625,0.0680994838476181,0.10296798497438431,0.8743910789489746
traisformer,0,500,dma_128_test.npz,2,22575.16796875,56839.12890625,0.09782243520021439,0.9878287315368652
traisformer,1,500,dma_128_test.npz,2,22821.501953125,57045.76171875,0.0960538312792778,0.9901543259620667
traisformer,2,500,dma_128_test.npz,2,22739.3515625,55900.56640625,0.09480945765972137,0.9902516603469849
traisformer,42,500,dma_128_test.npz,2,24344.47265625,60876.88671875,0.10416208952665329,0.9866856336593628
traisformer,123,500,dma_128_test.npz,2,23572.05078125,58707.84765625,0.10515376925468445,0.9929806590080261
